Grapheme	Frequency	Codepoint	UnicodeName
चा‍	1	U+091A, U+093E, U+200D	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
चां	549	U+091A, U+093E, U+0902	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
चि	1032	U+091A, U+093F	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN I
चि‍	7	U+091A, U+093F, U+200D	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN I, ZERO WIDTH JOINER
ची	805	U+091A, U+0940	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN II
चु	319	U+091A, U+0941	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN U
चुं	3	U+091A, U+0941, U+0902	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN U, DEVANAGARI SIGN ANUSVARA
चू	72	U+091A, U+0942	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN UU
चे	337	U+091A, U+0947	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN E
चे‍	1	U+091A, U+0947, U+200D	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
चें	1	U+091A, U+0947, U+0902	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA
चै	1	U+091A, U+0948	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AI
चो	1889	U+091A, U+094B	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN O
चो‍	1	U+091A, U+094B, U+200D	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN O, ZERO WIDTH JOINER
चों	19	U+091A, U+094B, U+0902	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
चौ	59	U+091A, U+094C	DEVANAGARI LETTER CA, DEVANAGARI VOWEL SIGN AU
च्‍	429	U+091A, U+094D, U+200D	DEVANAGARI LETTER CA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
च्	2	U+091A, U+094D	DEVANAGARI LETTER CA, DEVANAGARI SIGN VIRAMA
छ	309	U+091B	DEVANAGARI LETTER CHA
छ‍	3	U+091B, U+200D	DEVANAGARI LETTER CHA, ZERO WIDTH JOINER
छा	253	U+091B, U+093E	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN AA
छां	1	U+091B, U+093E, U+0902	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
छि	514	U+091B, U+093F	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN I
छी	178	U+091B, U+0940	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN II
छु	55	U+091B, U+0941	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN U
छू	6	U+091B, U+0942	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN UU
छे	856	U+091B, U+0947	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN E
छे‍	1	U+091B, U+0947, U+200D	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
छो	8	U+091B, U+094B	DEVANAGARI LETTER CHA, DEVANAGARI VOWEL SIGN O
ज	5274	U+091C	DEVANAGARI LETTER JA
ज‍	10	U+091C, U+200D	DEVANAGARI LETTER JA, ZERO WIDTH JOINER
जा	6737	U+091C, U+093E	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN AA
जा‍	2	U+091C, U+093E, U+200D	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
जि	627	U+091C, U+093F	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN I
जि‍	3	U+091C, U+093F, U+200D	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN I, ZERO WIDTH JOINER
जी	1578	U+091C, U+0940	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN II
जी‍	1	U+091C, U+0940, U+200D	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN II, ZERO WIDTH JOINER
जु	225	U+091C, U+0941	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN U
जु‍	2	U+091C, U+0941, U+200D	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN U, ZERO WIDTH JOINER
जू	40	U+091C, U+0942	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN UU
जे	561	U+091C, U+0947	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN E
जे‍	8	U+091C, U+0947, U+200D	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
जै	16	U+091C, U+0948	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN AI
जो	1599	U+091C, U+094B	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN O
जो‍	1	U+091C, U+094B, U+200D	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN O, ZERO WIDTH JOINER
जों	17	U+091C, U+094B, U+0902	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
जौं	11	U+091C, U+094C, U+0902	DEVANAGARI LETTER JA, DEVANAGARI VOWEL SIGN AU, DEVANAGARI SIGN ANUSVARA
ज्‍	804	U+091C, U+094D, U+200D	DEVANAGARI LETTER JA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
ज्‍‍	4	U+091C, U+094D, U+200D, U+200D	DEVANAGARI LETTER JA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER
ज्	158	U+091C, U+094D	DEVANAGARI LETTER JA, DEVANAGARI SIGN VIRAMA
झि	5	U+091D, U+093F	DEVANAGARI LETTER JHA, DEVANAGARI VOWEL SIGN I
झी	3	U+091D, U+0940	DEVANAGARI LETTER JHA, DEVANAGARI VOWEL SIGN II
झु	7	U+091D, U+0941	DEVANAGARI LETTER JHA, DEVANAGARI VOWEL SIGN U
झे	39	U+091D, U+0947	DEVANAGARI LETTER JHA, DEVANAGARI VOWEL SIGN E
झो	48	U+091D, U+094B	DEVANAGARI LETTER JHA, DEVANAGARI VOWEL SIGN O
ट	1121	U+091F	DEVANAGARI LETTER TTA
टा	1137	U+091F, U+093E	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN AA
टि	538	U+091F, U+093F	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN I
टि‍	7	U+091F, U+093F, U+200D	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN I, ZERO WIDTH JOINER
टी	1061	U+091F, U+0940	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN II
टी‍	3	U+091F, U+0940, U+200D	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN II, ZERO WIDTH JOINER
टु	109	U+091F, U+0941	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN U
टे	105	U+091F, U+0947	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN E
टो	9	U+091F, U+094B	DEVANAGARI LETTER TTA, DEVANAGARI VOWEL SIGN O
ठ	266	U+0920	DEVANAGARI LETTER TTHA
ठा	458	U+0920, U+093E	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN AA
ठि	212	U+0920, U+093F	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN I
ठी	1467	U+0920, U+0940	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN II
ठु	12	U+0920, U+0941	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN U
ठुं	1	U+0920, U+0941, U+0902	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN U, DEVANAGARI SIGN ANUSVARA
ठे	4472	U+0920, U+0947	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN E
ठें	7	U+0920, U+0947, U+0902	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN E, DEVANAGARI SIGN ANUSVARA
ठो	7	U+0920, U+094B	DEVANAGARI LETTER TTHA, DEVANAGARI VOWEL SIGN O
ड	880	U+0921	DEVANAGARI LETTER DDA
डा	2965	U+0921, U+093E	DEVANAGARI LETTER DDA, DEVANAGARI VOWEL SIGN AA
